機關構名稱,熱點名稱,熱點類別,縣市名稱,鄉鎮市區,地址,緯度,經度
新竹市政府,公車-金牌客運(52、53路[506-FT]),大眾運輸節點,新竹市,東區,300新竹市東區關東路256巷3號,24.788012,121.021234
新竹市政府,公車-金牌客運(52、53路[507-FT]),大眾運輸節點,新竹市,東區,300新竹市東區關東路256巷3號,24.788012,121.021234
新竹市政府,公車-金牌客運(預備車[511-FT]),大眾運輸節點,新竹市,東區,300新竹市東區關東路256巷3號,24.788012,121.021234
新竹市政府,公車-苗栗客運(綠線 [829-FP]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,24.802515,120.971322
新竹市政府,公車-苗栗客運(綠線 [830-FP]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,25.802515,121.971322
新竹市政府,公車-苗栗客運(綠線 [831-FP]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,26.802515,122.971322
新竹市政府,公車-苗栗客運(綠線 [832-FP]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,27.802515,123.971322
新竹市政府,公車-苗栗客運(綠線 [833-FP]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,28.802515,124.971322
新竹市政府,公車-苗栗客運(綠線 [835-FP]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,29.802515,125.971322
新竹市政府,公車-新竹客運(1路[097-FN]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路[098-FN]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路[100-FN]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路[215-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路[216-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路[226-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
